tank,doy,sampperiod,date_time,date_time_min,date_time_max,CH4_emis_rate,CH4_emis_rate_sd,n,samp_dur,level,tank_area,slurry_mass,CH4_emis_rate_slurry,CH4_emis_rate_slurry_sd
AD1,62,4,2023-03-03T04:46:48Z,2023-03-01T01:00:00Z,2023-03-05T10:00:00Z,3.62035803601069,3.00990269118765,100,4.375,4.04566844919786,934.820163983813,3781.97244310328,0.957267164284259,0.795855267712602
AD1,120,5,2023-04-30T13:53:28.695652Z,2023-04-28T15:00:00Z,2023-05-02T15:00:00Z,7.41077473663589,14.6070998263426,46,4,1.82511229946524,934.820163983813,1706.15177907497,4.34356123970039,8.56143046913574
AD1,215,1,2022-08-03T19:52:01.100917Z,2022-07-28T23:00:00Z,2022-08-09T17:00:00Z,22.4632764589686,16.3590673219753,218,11.75,1.41835828877005,934.820163983813,1325.90992809582,16.9417816270739,12.3379929324981
AD1,285,2,2022-10-12T11:27:06.506024Z,2022-10-07T05:00:00Z,2022-10-17T02:00:00Z,39.6444157378516,43.6426918715258,166,9.875,3.31117647058824,934.820163983813,3095.35453121464,12.8077140560357,14.0994162159512
AD1,358,3,2022-12-24T10:44:09.056604Z,2022-12-19T10:00:00Z,2022-12-29T04:00:00Z,33.8482703644842,14.3388246722318,159,9.75,3.92208556149733,934.820163983813,3666.44466775748,9.23190541020409,3.91082532850601
AD2,57,3,2023-01-03T10:56:45.405406Z,2022-12-31T12:00:00Z,2023-01-06T17:00:00Z,3.67893317553632,2.80194611383315,74,6.20833333333333,4,624.580035460187,2498.32014184075,1.47256274883398,1.12153205144025
AD2,78,4,2023-03-19T11:33:36Z,2023-03-17T15:00:00Z,2023-03-21T14:00:00Z,0.687940364891152,0.456563270785479,75,3.95833333333333,4,624.580035460187,2498.32014184075,0.275361173041771,0.18274810467208
AD2,112,5,2023-04-22T19:30:00Z,2023-04-20T20:00:00Z,2023-04-25T07:00:00Z,0.240899904572367,0.154056948170808,72,4.45833333333333,0.4,624.580035460187,249.832014184075,0.964247537927116,0.616642141216137
AD2,242,1,2022-08-30T11:46:00Z,2022-08-26T13:00:00Z,2022-09-03T12:00:00Z,45.9918386103475,25.6634749342865,150,7.95833333333333,2.81480106951872,624.580035460187,1758.06855181337,26.1604353043622,14.5975393893575
AD2,309,2,2022-11-05T09:18:30.280374Z,2022-11-01T19:00:00Z,2022-11-09T10:00:00Z,17.9155943575113,5.91124876825275,107,7.625,4,624.580035460187,2498.32014184075,7.1710562859695,2.36608938512475
AD3,39,4,2024-02-08T09:19:01.463415Z,2024-02-06T18:00:00Z,2024-02-09T19:00:00Z,10.5936704249683,5.37687752286017,41,3.04166666666667,3.72093124,333.291564619341,1240.15499482059,8.54221485960378,4.33564961260189
AD3,50,5,2024-02-19T04:30:00Z,2024-02-18T17:00:00Z,2024-02-19T16:00:00Z,4.67079043289477,1.05268414489574,24,0.958333333333333,3.741835816,333.291564619341,1247.12231366333,3.74525448043238,0.844090538163462
AD3,79,6,2024-03-19T07:57:25.714286Z,2024-03-15T13:00:00Z,2024-03-23T14:00:00Z,10.4523073276516,8.61955198975302,70,8.04166666666667,2.54212712,333.291564619341,847.26952528606,12.3364608494831,10.1733294217597
AD3,202,1,2023-07-21T15:52:06.315789Z,2023-07-17T13:00:00Z,2023-07-26T21:00:00Z,0.183653925094302,0.102526087130849,114,9.33333333333333,0.2002,333.291564619341,66.7249712367921,2.75240171243469,1.53654749084877
AD3,292,2,2023-10-19T15:04:17.142857Z,2023-10-13T12:00:00Z,2023-10-23T15:00:00Z,6.64330093827347,4.92204104353612,98,10.125,1.1869999648,333.291564619341,395.617075471295,16.7922502595707,12.4414271999573
AD3,334,3,2023-11-30T19:47:08.571429Z,2023-11-26T22:00:00Z,2023-12-04T15:00:00Z,20.8387877520168,19.2127324434446,168,7.70833333333333,2.8,333.291564619341,933.216380934155,22.3300706864544,20.5876502341424
AD4,16,4,2024-01-16T20:50:00Z,2024-01-14T18:00:00Z,2024-01-19T15:00:00Z,1.64065386454754,1.20473193444843,72,4.875,3.95,444.880935674851,1757.27969591566,0.933632744042291,0.685566411111743
AD4,68,5,2024-03-08T13:10:00Z,2024-03-04T20:00:00Z,2024-03-12T17:00:00Z,0.982459371374477,0.271681267478119,72,7.875,3.95,444.880935674851,1757.27969591566,0.559079680746297,0.154603315630159
AD4,245,1,2023-09-02T20:33:09.473684Z,2023-09-02T02:00:00Z,2023-09-03T17:00:00Z,54.8280898528043,53.8948485650944,38,1.625,1.57632,444.880935674851,701.274716522981,78.1834687048889,76.8526902442922
AD4,278,2,2023-10-05T18:12:51.428571Z,2023-10-02T17:00:00Z,2023-10-08T23:00:00Z,1.22574271145777,0.833835725160459,126,6.25,0.25,444.880935674851,111.220233918713,11.0208607577073,7.49715852755608
AD4,314,3,2023-11-10T10:18:00Z,2023-11-06T22:00:00Z,2023-11-13T10:00:00Z,3.32719705821372,2.19580347442808,120,6.5,1.4,444.880935674851,622.833309944791,5.3420345461431,3.5255074501759
