tank,dia,area,depth,temp_in,pH,TAN,substrate,VFA
AD1,34.5,935,0.00,32,8,2.349,13.56,0.339
AD2,28.2,625,4.00,32,8.02,2.897,6.67,2.483
AD3,20.6,333,4.05,32,7.91,2.560,16.68,0.225
AD4,,445,4.05,32,8.004,2.564,14.44,0.264
