time,slurry_mass,
1,67.469,
32,78.591,
60,89.78,
61,87.1,
91,98.289,
92,68.809,
121,79.998,
122,2.211,
152,13.4,
153,0.067,
182,11.189,
183,11.189,
214,22.378,
215,20.971,
244,32.16,
245,28.14,
274,39.329,
275,35.309,
304,46.498,
305,45.091,
336,56.28,
365,67.469,
